Station,Latitude_(deg),Longitude_(deg),Height_(m),State,County,City_(nearest)
MILR,38.120,-117.442,1487.26,NV,Esmeralda,Goldfield
MINA,38.420,-118.155,1497.95,NV,Mineral,Mina
MISE,37.687,-114.245,1805.01,UT,Iron,Modena
MNDS,39.625,-120.401,1493.28,CA,Sierra,Calpine
MOGL,39.525,-119.926,1517.57,NV,Washoe,Reno
MOHA,39.684,-120.604,2192.58,CA,Plumas,Clio
MOHO,38.246,-118.245,1965.36,NV,Mineral,Mina
MONO,37.898,-119.120,2154.15,CA,Mono,Lee Vining
MONT,38.078,-117.708,1639.32,NV,Esmeralda,Goldfield
MORG,40.447,-120.065,1520.72,CA,Lassen,Wendel
MOUN,40.303,-117.070,1503.06,NV,Lander,Battle Mountain
MUDD,36.394,-114.694,803.41,NV,Clark,Mesquite
MULL,39.878,-119.648,1430.99,NV,Washoe,Reno
NACH,39.997,-119.219,1692.84,NV,Washoe,Nixon
NARR,39.255,-119.283,1287.83,NV,Lyon,Yerington
NAVA,36.687,-110.532,2162.05,AZ,Navajo,Shonto
NELS,35.714,-114.796,668.87,NV,Clark,Laughlin
NGWN,42.306,-119.405,1669.06,OR,Lake,Lakeview
NORA,38.315,-119.744,2093.78,CA,Tuolumne,Strawberry
NORD,38.886,-119.320,1477.03,NV,Lyon,Wellington
NPAS,39.582,-117.536,1723.60,NV,Lander,Austin
NYOR,35.491,-115.159,1358.09,NV,Clark,Searchlight
OASI,37.037,-116.791,1236.24,NV,Nye,Beatty
OBSV,40.735,-120.157,1668.03,CA,Lassen,Ravendale
OLNC,36.210,-117.904,1356.26,CA,Inyo,Olancha
ONLY,40.964,-120.268,1647.13,CA,Lassen,Ravendale
OWEN,36.743,-118.055,1160.84,CA,Inyo,Independence
PACT,38.642,-117.803,1805.25,NV,Nye,Gabbs
PAHR,36.139,-115.745,1311.49,NV,Clark,Blue Diamond
PALO,40.073,-117.110,1647.62,NV,Lander,Austin
PANA,36.240,-117.419,780.87,CA,Inyo,Death Valley
PARO,38.034,-112.676,1854.59,UT,Iron,Paragonah
PARP,41.324,-117.698,1530.54,NV,Humboldt,Winnemucca
PCST,38.223,-119.940,2433.09,CA,Tuolumne,Strawberry
PEAR,35.855,-117.903,897.42,CA,Kern,Inyokern
PEFO,35.080,-109.796,1780.58,AZ,Apache,Greer
PENN,40.034,-120.380,1903.93,CA,Lassen,Herlong
PENT,39.419,-120.323,2525.03,CA,Nevada,Truckee
PERA,39.488,-120.332,2026.08,CA,Sierra,Sierraville
PETE,39.750,-120.000,1722.88,CA,Plumas,Chilcoot
PHIL,38.932,-118.088,1451.26,NV,Nye,Gabbs
PHON,39.083,-117.773,2019.96,NV,Nye,Gabbs
PICA,32.629,-111.418,591.82,AZ,Pinal,Red Rock
PILG,40.872,-119.997,1887.62,CA,Lassen,Ravendale
PILO,38.270,-117.985,1706.42,NV,Mineral,Mina
PINE,38.645,-119.052,1763.90,NV,Lyon,Smith
PIUT,35.385,-114.882,868.03,NV,Clark,Searchlight
PLEA,39.336,-119.754,1699.57,NV,Washoe,Reno
PNUT,38.919,-119.487,2202.09,NV,Lyon,Wellington
POKE,40.379,-118.472,1574.06,NV,Pershing,Lovelock
PONY,39.279,-119.019,1310.25,NV,Lyon,Fernley
POOS,39.455,-119.260,1637.85,NV,Lyon,Fernley
PORC,41.599,-120.743,1525.87,CA,Modoc,Davis Creek
